CAMARA_COMERCIO,total,activas,tasa_activa
Bogotá,2724,1110,40.7488986784141
Medellín,794,258,32.49370277078086
Cali,556,209,37.589928057553955
Barranquilla,435,144,33.10344827586207
Bucaramanga,435,125,28.735632183908045
Villavicencio,294,90,30.612244897959183
Cúcuta,283,80,28.26855123674912
Huila,257,50,19.45525291828794
Ibagué,233,42,18.025751072961373
Pereira,229,51,22.270742358078603
Cartagena,219,55,25.11415525114155
Aburra Sur,189,34,17.989417989417987
Manizales,180,34,18.88888888888889
Armenia,155,34,21.935483870967744
Tunja,151,44,29.13907284768212
Cauca,151,35,23.178807947019866
Casanare,140,34,24.285714285714285
Facatativa,135,43,31.851851851851855
Monteria,132,44,33.33333333333333
Pasto,118,37,31.35593220338983
La Guajira,116,30,25.862068965517242
Valledupar,112,38,33.92857142857143
Oriente Antioqueno,102,25,24.509803921568626
Duitama,95,17,17.894736842105264
Sincelejo,91,27,29.67032967032967
Florencia Para El Caqueta,87,16,18.39080459770115
Sur Y Oriente Del Tolima,80,12,15.0
Palmira,74,20,27.027027027027028
Uraba,73,24,32.87671232876712
Putumayo,66,24,36.36363636363637
Barrancabermeja,63,18,28.57142857142857
Cartago,62,9,14.516129032258066
Girardot,57,15,26.31578947368421
Sogamoso,56,12,21.428571428571427
Santa Marta,55,20,36.36363636363637
Tulua,55,8,14.545454545454545
Magdalena Medio,50,16,32.0
Honda,49,6,12.244897959183673
Chocó,49,14,28.57142857142857
Dosquebradas,46,10,21.73913043478261
Aguachica,45,20,44.44444444444444
Buenaventura,45,17,37.77777777777778
La Dorada,44,10,22.727272727272727
Buga,40,6,15.0
Magangue,40,17,42.5
Ocana,40,10,25.0
Ipiales,30,9,30.0
Piedemonte Araucano,26,10,38.46153846153847
San Andres,25,8,32.0
Tumaco,25,12,48.0
Arauca,23,8,34.78260869565217
Santa Rosa De Cabal,22,3,13.636363636363635
Pamplona,19,6,31.57894736842105
Amazonas,17,4,23.52941176470588
San Jose,16,5,31.25
Sevilla,15,3,20.0
Chinchina,14,3,21.428571428571427
Soacha,2,2,100.0
