ANIO_MATRICULA,total,activas,tasa
2000,179,35,19.553072625698324
2001,186,31,16.666666666666664
2002,213,38,17.84037558685446
2003,252,46,18.253968253968253
2004,302,54,17.880794701986755
2005,266,41,15.413533834586465
2006,286,42,14.685314685314685
2007,295,48,16.271186440677965
2008,252,69,27.380952380952383
2009,271,70,25.830258302583026
2010,275,72,26.181818181818183
2011,312,85,27.24358974358974
2012,322,78,24.22360248447205
2013,325,82,25.23076923076923
2014,356,80,22.47191011235955
2015,308,89,28.8961038961039
2016,326,98,30.061349693251532
2017,361,96,26.59279778393352
2018,352,116,32.95454545454545
2019,367,136,37.05722070844686
2020,300,139,46.33333333333333
2021,351,171,48.717948717948715
2022,324,224,69.1358024691358
2023,281,229,81.49466192170819
2024,254,229,90.15748031496062
