ANIO_MATRICULA,nuevas_matriculas,acumulado,crecimiento_pct
2000,179,179,
2001,186,365,3.910614525139655
2002,213,578,14.516129032258075
2003,252,830,18.309859154929576
2004,302,1132,19.84126984126984
2005,266,1398,-11.92052980132451
2006,286,1684,7.518796992481214
2007,295,1979,3.1468531468531458
2008,252,2231,-14.576271186440682
2009,271,2502,7.539682539682535
2010,275,2777,1.4760147601476037
2011,312,3089,13.454545454545453
2012,322,3411,3.205128205128216
2013,325,3736,0.9316770186335477
2014,356,4092,9.53846153846154
2015,308,4400,-13.48314606741573
2016,326,4726,5.844155844155852
2017,361,5087,10.73619631901841
2018,352,5439,-2.4930747922437657
2019,367,5806,4.2613636363636465
2020,300,6106,-18.25613079019074
2021,351,6457,16.999999999999993
2022,324,6781,-7.692307692307687
2023,281,7062,-13.271604938271608
2024,254,7316,-9.608540925266906
