programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
DOCTORADO EN DERECHO,Posgrado,SES,10.0,ALTA,5,5,5,5,1,10,0.0,15,38
DOCTORADO EN EDUCACION,Posgrado,Lineal,30.1,BAJA,23,23,25,27,0,53,17.4,75,109
ESPECIALIZACION EN ADMINISTRACION Y GERENCIA DE SISTEMAS DE LA CALIDAD,Posgrado,SES,33.2,BAJA,0,13,13,13,0,52,,39,153
ESPECIALIZACION EN AUDITORIA DE SALUD,Posgrado,SES,33.6,BAJA,49,49,49,49,0,101,0.0,147,397
ESPECIALIZACION EN AUDITORIA Y ADMINISTRACION DE LA INFORMACION TRIBUTARIA,Posgrado,SES,4.6,ALTA,16,17,17,17,2,32,6.2,51,116
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,SES,8.0,ALTA,197,208,208,208,129,287,5.6,624,1453
ESPECIALIZACION EN DERECHO PENAL,Posgrado,Lineal,26.5,MEDIA,33,36,37,38,0,77,15.2,111,209
ESPECIALIZACION EN DERECHO TRIBUTARIO,Posgrado,SES,72.6,BAJA,25,18,18,18,0,43,-28.0,54,91
ESPECIALIZACION EN DIRECCION Y GESTION DE LA CALIDAD,Posgrado,Polinómico,21.2,MEDIA,91,156,245,357,346,369,292.3,758,256
ESPECIALIZACION EN FINANZAS,Posgrado,SES,1.1,ALTA,70,70,70,70,43,96,0.0,210,489
ESPECIALIZACION EN GERENCIA DE EMPRESAS AGROPECUARIAS,Posgrado,Lineal,104.7,BAJA,4,7,7,6,0,29,50.0,20,65
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Posgrado,Lineal,50.1,BAJA,15,11,9,6,0,21,-60.0,26,134
ESPECIALIZACION EN GERENCIA DE NEGOCIOS INTERNACIONALES,Posgrado,SES,20.8,MEDIA,11,12,12,12,0,30,9.1,36,100
ESPECIALIZACION EN GERENCIA EMPRESARIAL,Posgrado,SES,18.3,MEDIA,98,93,93,93,26,160,-5.1,279,685
ESPECIALIZACION EN GERENCIA LOGISTICA INTERNACIONAL,Posgrado,Holt,25.9,MEDIA,13,14,15,17,13,21,30.8,46,45
ESPECIALIZACION EN GESTION PARA EL DESARROLLO EMPRESARIAL,Posgrado,Lineal,33.3,BAJA,20,12,10,9,0,37,-55.0,31,133
ESPECIALIZACION EN GESTION TERRITORIAL Y AVALUOS,Posgrado,Lineal,13.9,ALTA,25,25,24,23,1,44,-8.0,72,203
ESPECIALIZACION EN ORDENAMIENTO Y GESTION INTEGRAL DE CUENCAS HIDROGRAFICAS,Posgrado,Polinómico,160.0,BAJA,2,0,0,0,0,29,-100.0,0,123
ESPECIALIZACION EN PATOLOGIA DE LA CONSTRUCCION,Posgrado,SES,16.5,MEDIA,91,84,84,84,49,119,-7.7,252,587
ESPECIALIZACION EN PEDAGOGIA PARA LA EDUCACION SUPERIOR,Posgrado,SES,32.4,BAJA,17,24,24,24,0,89,41.2,72,171
ESPECIALIZACION EN PSICOLOGIA JURIDICA Y FORENSE,Posgrado,Lineal,15.3,MEDIA,49,46,44,41,6,76,-16.3,131,397
MAESTRIA EN ACTIVIDAD FISICA PARA LA SALUD,Posgrado,SES,2.9,ALTA,20,20,20,20,0,51,0.0,60,138
MAESTRIA EN ADMINISTRACION - MBA,Posgrado,Lineal,48.7,BAJA,16,16,14,12,0,66,-25.0,42,154
MAESTRIA EN CALIDAD Y GESTION INTEGRAL,Posgrado,SES,116.6,BAJA,19,19,19,19,0,83,0.0,57,334
MAESTRIA EN CIENCIAS ECONOMICAS,Posgrado,Lineal,34.4,BAJA,3,0,0,0,0,12,-100.0,0,56
"MAESTRIA EN COMUNICACION,DESARROLLO Y CAMBIO SOCIAL",Posgrado,Holt,52.5,BAJA,2,1,0,0,0,19,-100.0,1,65
"MAESTRIA EN DEFENSA DE LOS DERECHOS HUMANOS Y DEL DERECHO INTERNACIONAL HUMANITARIO ANTE ORGANISMOS, TRIBUNALES Y CORTES INTERNACIONALES",Posgrado,SES,27.4,MEDIA,60,55,55,55,16,94,-8.3,165,202
MAESTRIA EN DERECHO CONTRACTUAL PUBLICO Y PRIVADO,Posgrado,Polinómico,18.6,MEDIA,24,4,0,0,0,53,-100.0,4,263
MAESTRIA EN DERECHO PENAL,Posgrado,Polinómico,71.8,BAJA,50,67,96,131,103,158,162.0,294,98
MAESTRIA EN DERECHO PUBLICO,Posgrado,SES,10.8,ALTA,27,24,24,24,0,55,-11.1,72,167
MAESTRIA EN EDUCACION,Posgrado,SES,210.5,BAJA,5,10,10,10,0,326,100.0,30,501
MAESTRIA EN ESTADISTICA APLICADA,Posgrado,Lineal,10.5,ALTA,13,15,16,18,13,23,38.5,49,52
MAESTRIA EN FILOSOFIA LATINOAMERICANA,Posgrado,Polinómico,62.5,BAJA,2,0,0,0,0,10,-100.0,0,41
MAESTRIA EN GESTION DE CUENCAS HIDROGRAFICAS,Posgrado,SES,133.3,BAJA,3,3,3,3,0,10,0.0,9,35
MAESTRIA EN GESTION DEL TALENTO HUMANO,Posgrado,SES,59.1,BAJA,23,13,13,13,0,44,-43.5,39,53
MAESTRIA EN INFRAESTRUCTURA VIAL,Posgrado,Holt,26.8,MEDIA,15,10,8,6,0,45,-60.0,24,124
MAESTRIA EN PLANEACION PARA EL DESARROLLO,Posgrado,SES,68.8,BAJA,7,12,12,12,0,32,71.4,36,83
MAESTRIA EN PSICOLOGIA CLINICA Y DE LA FAMILIA,Posgrado,SES,10.6,ALTA,19,22,22,22,0,47,15.8,66,154
MAESTRIA EN PSICOLOGIA JURIDICA,Posgrado,Polinómico,81.1,BAJA,11,0,0,0,0,51,-100.0,0,223
MAESTRIA EN SALUD PUBLICA,Posgrado,Polinómico,150.6,BAJA,1,0,0,0,0,43,-100.0,0,119
MAESTRIA EN TELECOMUNICACIONES Y REGULACION TIC,Posgrado,SES,77.3,BAJA,9,10,10,10,0,30,11.1,30,73
