programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Pregrado,SES,8.7,ALTA,110,94,94,94,18,170,-14.5,282,659
ADMINISTRACION DE EMPRESAS,Pregrado,Holt,3.2,ALTA,243,228,218,208,116,300,-14.4,654,1889
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,Pregrado,SES,30.3,BAJA,19,19,19,19,0,55,0.0,57,173
ARQUITECTURA,Pregrado,Polinómico,6.7,ALTA,84,116,154,199,179,220,136.9,469,397
COMUNICACION SOCIAL,Pregrado,Lineal,26.4,MEDIA,70,35,17,0,0,138,-100.0,52,742
CONSTRUCCION EN ARQUITECTURA E INGENIERIA,Pregrado,SES,36.9,BAJA,63,63,63,63,0,139,0.0,189,415
CONTADURIA PUBLICA,Pregrado,Polinómico,10.3,ALTA,92,60,24,0,0,30,-100.0,84,852
"CULTURA FISICA, DEPORTE Y RECREACION",Pregrado,SES,10.3,ALTA,161,161,161,161,108,214,0.0,483,944
DERECHO,Pregrado,SES,6.4,ALTA,344,320,320,320,106,534,-7.0,960,2238
DISENO GRAFICO,Pregrado,SES,13.1,ALTA,61,52,52,52,19,85,-14.8,156,364
ECONOMIA,Pregrado,Polinómico,19.3,MEDIA,60,37,13,0,0,89,-100.0,50,509
ESTADISTICA,Pregrado,Holt,17.5,MEDIA,61,66,70,74,39,109,21.3,210,297
GOBIERNO Y RELACIONES INTERNACIONALES,Pregrado,Holt,52.0,BAJA,50,78,82,86,38,134,72.0,246,422
INGENIERIA AMBIENTAL,Pregrado,Holt,9.4,ALTA,121,92,63,34,0,179,-71.9,189,1448
INGENIERIA CIVIL,Pregrado,SES,8.3,ALTA,242,243,243,243,83,402,0.4,729,1556
INGENIERIA DE TELECOMUNICACIONES,Pregrado,SES,37.5,BAJA,34,31,31,31,15,46,-8.8,93,215
INGENIERIA ELECTRONICA,Pregrado,SES,1.5,ALTA,37,37,37,37,20,55,0.0,111,261
INGENIERIA EN INFORMATICA,Pregrado,SES,20.2,MEDIA,16,19,19,19,0,38,18.8,57,135
INGENIERIA INDUSTRIAL,Pregrado,SES,2.5,ALTA,121,121,121,121,42,200,0.0,363,598
INGENIERIA MECANICA,Pregrado,SES,15.6,MEDIA,80,86,86,86,21,151,7.5,258,604
LICENCIATURA EN ARTES PLASTICAS,Pregrado,SES,61.3,BAJA,10,11,11,11,0,28,10.0,33,40
LICENCIATURA EN ARTES PLASTICAS Y VISUALES,Pregrado,Polinómico,107.5,BAJA,2,1,1,2,0,5,0.0,4,41
LICENCIATURA EN BIOLOGIA,Pregrado,Polinómico,6.5,ALTA,37,54,74,97,97,97,162.2,225,76
LICENCIATURA EN BIOLOGIA CON ENFASIS EN EDUCACION AMBIENTAL,Pregrado,SES,112.4,BAJA,5,5,5,5,0,34,0.0,15,109
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,Pregrado,SES,0.0,ALTA,3,3,3,3,0,25,0.0,9,84
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS,Pregrado,Polinómico,166.7,BAJA,0,0,0,0,0,16,,0,81
LICENCIATURA EN EDUCACION INFANTIL,Pregrado,Holt,42.5,BAJA,55,62,75,88,61,114,60.0,225,117
LICENCIATURA EN EDUCACION PREESCOLAR,Pregrado,Holt,140.7,BAJA,10,16,7,0,0,81,-100.0,23,342
LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,Pregrado,Holt,21.5,MEDIA,1,0,0,0,0,16,-100.0,0,226
LICENCIATURA EN FILOSOFIA Y LENGUA CASTELLANA,Pregrado,SES,40.6,BAJA,16,16,16,16,0,44,0.0,48,115
"LICENCIATURA EN FILOSOFIA, ETICA Y VALORES HUMANOS",Pregrado,Holt,46.4,BAJA,0,2,1,0,0,4,,3,45
"LICENCIATURA EN FILOSOFIA, PENSAMIENTO POLITICO Y ECONOMICO",Pregrado,SES,385.0,BAJA,1,1,1,1,0,27,0.0,3,119
LICENCIATURA EN INFORMATICA EDUCATIVA,Pregrado,Holt,75.0,BAJA,2,1,0,0,0,6,-100.0,1,48
LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA,Pregrado,Holt,28.9,MEDIA,8,7,4,2,0,12,-75.0,13,104
LICENCIATURA EN LENGUAS EXTRANJERAS INGLES,Pregrado,SES,20.7,MEDIA,61,41,41,41,0,85,-32.8,123,244
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,Pregrado,Lineal,82.4,BAJA,11,20,23,25,0,51,127.3,68,62
LICENCIATURA EN TEOLOGIA,Pregrado,Polinómico,16.9,MEDIA,21,27,32,39,30,48,85.7,98,118
MERCADEO,Pregrado,SES,8.6,ALTA,85,84,84,84,17,151,-1.2,252,587
NEGOCIOS INTERNACIONALES,Pregrado,SES,1.8,ALTA,204,204,204,204,90,319,0.0,612,1431
PSICOLOGIA,Pregrado,SES,12.3,ALTA,157,147,147,147,97,196,-6.4,441,1026
SOCIOLOGIA,Pregrado,SES,53.6,BAJA,31,47,47,47,6,88,51.6,141,328
TEOLOGIA,Pregrado,Lineal,39.2,BAJA,21,12,12,12,0,34,-42.9,36,89
ZOOTECNIA,Pregrado,SES,12.3,ALTA,8,9,9,9,2,16,12.5,27,64
