programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
ESPECIALIZACION EN ADMINISTRACION DEPORTIVA,Posgrado,Lineal,8.7,ALTA,45,50,56,61,18,104,35.6,167,200
ESPECIALIZACION EN AUDITORIA DE SALUD,Posgrado,SES,77.8,BAJA,15,9,9,9,0,34,-40.0,27,35
ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,Posgrado,SES,29.9,MEDIA,34,25,25,25,0,59,-26.5,75,176
ESPECIALIZACION EN CONTRATACION ESTATAL,Posgrado,Polinómico,15.6,MEDIA,40,46,56,69,55,83,72.5,171,227
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,SES,10.4,ALTA,48,49,49,49,2,96,2.1,147,342
ESPECIALIZACION EN DERECHO CONSTITUCIONAL,Posgrado,SES,13.7,ALTA,19,15,15,15,0,39,-21.1,45,105
ESPECIALIZACION EN DERECHO DE LAS RELACIONES LABORALES,Posgrado,Lineal,108.6,BAJA,12,5,4,3,0,25,-75.0,12,65
ESPECIALIZACION EN DERECHO PROCESAL,Posgrado,Polinómico,25.3,MEDIA,55,63,82,106,79,133,92.7,251,306
ESPECIALIZACION EN DIRECCION Y GESTION DE LA CALIDAD,Posgrado,SES,28.3,MEDIA,19,14,14,14,0,36,-26.3,42,57
ESPECIALIZACION EN ENDODONCIA,Posgrado,SES,14.7,ALTA,39,34,34,34,0,70,-12.8,102,236
ESPECIALIZACION EN FINANZAS PUBLICAS,Posgrado,SES,36.1,BAJA,56,23,23,23,0,76,-58.9,69,161
ESPECIALIZACION EN GERENCIA DE INFORMACION FINANCIERA,Posgrado,Lineal,575.0,BAJA,3,0,0,0,0,37,-100.0,0,37
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Posgrado,Lineal,33.6,BAJA,15,8,5,2,0,22,-86.7,15,147
ESPECIALIZACION EN GERENCIA TRIBUTARIA,Posgrado,Polinómico,67.3,BAJA,34,19,15,9,0,72,-73.5,43,190
ESPECIALIZACION EN INTERVENTORIA Y SUPERVISION DE LA CONSTRUCCION,Posgrado,Polinómico,95.5,BAJA,53,50,62,76,28,125,43.4,188,172
ESPECIALIZACION EN ORTODONCIA,Posgrado,SES,4.6,ALTA,11,12,12,12,7,16,9.1,36,82
ESPECIALIZACION EN PERIODONCIA,Posgrado,SES,29.0,MEDIA,10,10,10,10,0,30,0.0,30,72
ESPECIALIZACION EN REHABILITACION ORAL,Posgrado,SES,21.1,MEDIA,13,12,12,12,2,21,-7.7,36,81
ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,Posgrado,SES,31.0,BAJA,27,27,27,27,0,61,0.0,81,164
ESPECIALIZACION EN SEGMENTO ANTERIOR Y LENTES DE CONTACTO,Posgrado,SES,25.1,MEDIA,11,14,14,14,0,32,27.3,42,100
ESPECIALIZACION EN SEGURIDAD SOCIAL,Posgrado,SES,48.0,BAJA,33,13,13,13,0,54,-60.6,39,81
ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO,Posgrado,SES,31.9,BAJA,210,210,210,210,45,375,0.0,630,559
ESPECIALIZACI¿N EN GERENCIA DE NEGOCIOS INTERNACIONALES,Posgrado,SES,500.0,BAJA,2,13,13,13,0,70,550.0,39,52
MAESTRIA EN ADMINISTRACION,Posgrado,SES,11.8,ALTA,22,22,22,22,0,47,0.0,66,187
MAESTRIA EN CIENCIAS CONTABLES,Posgrado,Lineal,21.4,MEDIA,4,0,0,0,0,9,-100.0,0,37
MAESTRIA EN CIENCIAS Y TECNOLOGIAS AMBIENTALES,Posgrado,SES,56.5,BAJA,8,10,10,10,0,30,25.0,30,67
MAESTRIA EN DERECHO,Posgrado,Holt,50.8,BAJA,14,11,10,9,0,47,-35.7,30,109
MAESTRIA EN DIRECCION Y GESTION DE PROYECTOS,Posgrado,Polinómico,38.2,BAJA,95,45,0,0,0,125,-100.0,45,314
MAESTRIA EN ORDENAMIENTO TERRITORIAL,Posgrado,Holt,69.6,BAJA,7,6,7,9,0,19,28.6,22,34
