programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
ADMINISTRACION DE EMPRESAS,Pregrado,SES,55.8,BAJA,20,27,27,27,0,59,35.0,81,191
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,Pregrado,Holt,24.6,MEDIA,47,50,55,60,19,101,27.7,165,205
ARQUITECTURA,Pregrado,Lineal,30.6,BAJA,148,173,186,199,73,326,34.5,558,839
CONTADURIA PUBLICA,Pregrado,SES,20.6,MEDIA,46,46,46,46,6,86,0.0,138,346
"CULTURA FISICA, DEPORTE Y RECREACION",Pregrado,SES,24.6,MEDIA,60,58,58,58,19,97,-3.3,174,338
DERECHO,Pregrado,SES,10.4,ALTA,228,228,228,228,133,323,0.0,684,1396
ECONOMIA,Pregrado,Polinómico,15.3,MEDIA,25,31,39,50,45,55,100.0,120,152
INGENIERIA DE TELECOMUNICACIONES,Pregrado,SES,33.3,BAJA,8,9,9,9,0,28,12.5,27,66
INGENIERIA INDUSTRIAL,Pregrado,Polinómico,40.7,BAJA,43,21,0,0,0,67,-100.0,21,412
INGENIERIA MECATRONICA,Pregrado,Polinómico,5.5,ALTA,28,34,41,49,26,72,75.0,124,126
NEGOCIOS INTERNACIONALES,Pregrado,Holt,7.6,ALTA,157,174,187,201,67,335,28.0,562,833
ODONTOLOGIA,Pregrado,SES,24.2,MEDIA,143,131,131,131,18,244,-8.4,393,918
OPTOMETRIA,Pregrado,Holt,14.4,ALTA,36,42,44,46,28,63,27.8,132,249
QUIMICA AMBIENTAL,Pregrado,Polinómico,19.2,MEDIA,9,14,20,29,18,39,222.2,63,81
TECNOLOGIA EN LABORATORIO DENTAL,Pregrado,SES,7.8,ALTA,26,28,28,28,4,51,7.7,84,193
