programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,SES,11.333333333333334,ALTA,370,423,468,518,355,682,40.0,1409,2209
ESPECIALIZACION EN DIRECCION Y GESTION DE LA CALIDAD,Posgrado,Polinómico,24.75,MEDIA,110,170,259,371,346,405,237.3,800,313
ESPECIALIZACION EN CONTRATACION ESTATAL,Posgrado,Polinómico,32.449999999999996,BAJA,99,136,179,232,185,279,134.3,547,388
ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO,Posgrado,SES,31.9,BAJA,210,210,210,210,45,375,0.0,630,559
ESPECIALIZACION EN DERECHO PENAL Y PROCESAL PENAL,Posgrado,Holt,53.5,BAJA,73,94,124,153,89,217,109.6,371,171
MAESTRIA EN DERECHO PENAL,Posgrado,Polinómico,71.8,BAJA,50,67,96,131,103,158,162.0,294,98
ESPECIALIZACION EN AUDITORIA DE SALUD,Posgrado,SES,38.8,BAJA,93,93,101,110,38,201,18.3,304,580
ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,Posgrado,Lineal,5.8,ALTA,87,92,100,107,75,140,23.0,299,429
ESPECIALIZACION EN DERECHO PROCESAL,Posgrado,Polinómico,25.3,MEDIA,55,63,82,106,79,133,92.7,251,306
ESPECIALIZACION EN GERENCIA EMPRESARIAL,Posgrado,SES,18.3,MEDIA,98,93,93,93,26,160,-5.1,279,685
ESPECIALIZACION EN ESTRUCTURAS,Posgrado,Holt,11.6,ALTA,74,74,82,89,68,109,20.3,245,318
ESPECIALIZACION EN PATOLOGIA DE LA CONSTRUCCION,Posgrado,SES,16.5,MEDIA,91,84,84,84,49,119,-7.7,252,587
ESPECIALIZACION EN INTERVENTORIA Y SUPERVISION DE LA CONSTRUCCION,Posgrado,Polinómico,95.5,BAJA,53,50,62,76,28,125,43.4,188,172
ESPECIALIZACION EN FINANZAS,Posgrado,SES,1.1,ALTA,70,70,70,70,43,96,0.0,210,489
ESPECIALIZACION EN ADMINISTRACION DEPORTIVA,Posgrado,Lineal,8.7,ALTA,45,50,56,61,18,104,35.6,167,200
"MAESTRIA EN DEFENSA DE LOS DERECHOS HUMANOS Y DEL DERECHO INTERNACIONAL HUMANITARIO ANTE ORGANISMOS, TRIBUNALES Y CORTES INTERNACIONALES",Posgrado,SES,27.4,MEDIA,60,55,55,55,16,94,-8.3,165,202
ESPECIALIZACION EN GEOTECNIA VIAL Y PAVIMENTOS,Posgrado,SES,15.5,MEDIA,46,46,46,46,0,101,0.0,138,331
ESPECIALIZACION EN PSICOLOGIA JURIDICA Y FORENSE,Posgrado,Lineal,15.45,MEDIA,62,54,46,41,6,82,-33.9,141,478
MAESTRIA EN DERECHO ADMINISTRATIVO,Posgrado,SES,129.4,BAJA,31,39,39,39,0,128,25.8,117,275
ESPECIALIZACION EN DERECHO PENAL,Posgrado,Lineal,26.5,MEDIA,33,36,37,38,0,77,15.2,111,209
ESPECIALIZACION EN ENDODONCIA,Posgrado,SES,14.7,ALTA,39,34,34,34,0,70,-12.8,102,236
ESPECIALIZACION EN INNOVACION Y MARKETING,Posgrado,SES,38.7,BAJA,43,29,29,29,0,64,-32.6,87,145
MAESTRIA EN INGENIERIA CIVIL CON ENFASIS EN HIDROAMBIENTAL,Posgrado,Holt,70.5,BAJA,0,20,24,28,13,43,,72,40
ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,Posgrado,SES,31.0,BAJA,27,27,27,27,0,61,0.0,81,164
DOCTORADO EN EDUCACION,Posgrado,Lineal,30.1,BAJA,23,23,25,27,0,53,17.4,75,109
ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,Posgrado,SES,29.9,MEDIA,34,25,25,25,0,59,-26.5,75,176
ESPECIALIZACION EN PEDAGOGIA PARA LA EDUCACION SUPERIOR,Posgrado,SES,32.4,BAJA,17,24,24,24,0,89,41.2,72,171
MAESTRIA EN DERECHO PUBLICO,Posgrado,SES,10.8,ALTA,27,24,24,24,0,55,-11.1,72,167
ESPECIALIZACION EN GESTION TERRITORIAL Y AVALUOS,Posgrado,Lineal,13.9,ALTA,25,25,24,23,1,44,-8.0,72,203
ESPECIALIZACION EN FINANZAS PUBLICAS,Posgrado,SES,36.1,BAJA,56,23,23,23,0,76,-58.9,69,161
MAESTRIA EN ADMINISTRACION,Posgrado,SES,11.8,ALTA,22,22,22,22,0,47,0.0,66,187
ESPECIALIZACION EN GOBIERNO Y GESTION TERRITORIAL,Posgrado,Holt,44.1,BAJA,36,20,21,22,0,55,-38.9,63,113
MAESTRIA EN PSICOLOGIA CLINICA Y DE LA FAMILIA,Posgrado,SES,10.6,ALTA,19,22,22,22,0,47,15.8,66,154
MAESTRIA EN ACTIVIDAD FISICA PARA LA SALUD,Posgrado,SES,2.9,ALTA,20,20,20,20,0,51,0.0,60,138
MAESTRIA EN CALIDAD Y GESTION INTEGRAL,Posgrado,SES,116.6,BAJA,19,19,19,19,0,83,0.0,57,334
ESPECIALIZACION EN DERECHO TRIBUTARIO,Posgrado,SES,72.6,BAJA,25,18,18,18,0,43,-28.0,54,91
MAESTRIA EN ESTADISTICA APLICADA,Posgrado,Lineal,10.5,ALTA,13,15,16,18,13,23,38.5,49,52
ESPECIALIZACION EN AUDITORIA Y ADMINISTRACION DE LA INFORMACION TRIBUTARIA,Posgrado,SES,4.6,ALTA,16,17,17,17,2,32,6.2,51,116
ESPECIALIZACION EN GERENCIA LOGISTICA INTERNACIONAL,Posgrado,Holt,25.9,MEDIA,13,14,15,17,13,21,30.8,46,45
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Posgrado,Lineal,127.19999999999999,BAJA,32,27,22,16,0,73,-50.0,65,312
ESPECIALIZACION EN AUDITORIA Y ASEGURAMIENTO DE LA INFORMACION,Posgrado,SES,130.9,BAJA,35,15,15,15,0,67,-57.1,45,62
ESPECIALIZACION EN DERECHO CONSTITUCIONAL,Posgrado,SES,13.7,ALTA,19,15,15,15,0,39,-21.1,45,105
ESPECIALIZACION EN SEGMENTO ANTERIOR Y LENTES DE CONTACTO,Posgrado,SES,25.1,MEDIA,11,14,14,14,0,32,27.3,42,100
ESPECIALIZACI¿N EN GERENCIA DE NEGOCIOS INTERNACIONALES,Posgrado,SES,500.0,BAJA,2,13,13,13,0,70,550.0,39,52
ESPECIALIZACION EN ADMINISTRACION Y GERENCIA DE SISTEMAS DE LA CALIDAD,Posgrado,SES,33.2,BAJA,0,13,13,13,0,52,,39,153
ESPECIALIZACION EN SEGURIDAD SOCIAL,Posgrado,SES,48.0,BAJA,33,13,13,13,0,54,-60.6,39,81
MAESTRIA EN GESTION DEL TALENTO HUMANO,Posgrado,SES,59.1,BAJA,23,13,13,13,0,44,-43.5,39,53
MAESTRIA EN ADMINISTRACION - MBA,Posgrado,Lineal,48.7,BAJA,16,16,14,12,0,66,-25.0,42,154
MAESTRIA EN PLANEACION PARA EL DESARROLLO,Posgrado,SES,68.8,BAJA,7,12,12,12,0,32,71.4,36,83
ESPECIALIZACION EN GERENCIA DE NEGOCIOS INTERNACIONALES,Posgrado,SES,20.8,MEDIA,11,12,12,12,0,30,9.1,36,100
ESPECIALIZACION EN ORTODONCIA,Posgrado,SES,4.6,ALTA,11,12,12,12,7,16,9.1,36,82
