programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
DERECHO,Pregrado,SES,18.099999999999998,ALTA,693,693,693,693,251,1136,0.0,2079,4650
NEGOCIOS INTERNACIONALES,Pregrado,Holt,10.700000000000001,ALTA,446,482,506,531,240,823,19.1,1519,2675
ARQUITECTURA,Pregrado,Lineal,13.0,ALTA,326,385,437,497,307,689,52.5,1319,1866
ADMINISTRACION DE EMPRESAS,Pregrado,SES,21.566666666666666,ALTA,334,326,316,306,154,463,-8.4,948,2467
INGENIERIA CIVIL,Pregrado,Polinómico,11.2,ALTA,343,321,289,254,83,451,-25.9,864,2619
"CULTURA FISICA, DEPORTE Y RECREACION",Pregrado,SES,17.450000000000003,ALTA,221,219,219,219,127,311,-0.9,657,1282
PSICOLOGIA,Pregrado,SES,12.3,ALTA,157,147,147,147,97,196,-6.4,441,1026
ODONTOLOGIA,Pregrado,SES,24.2,MEDIA,143,131,131,131,18,244,-8.4,393,918
INGENIERIA INDUSTRIAL,Pregrado,Polinómico,21.6,ALTA,164,142,121,121,42,267,-26.2,384,1010
LICENCIATURA EN BIOLOGIA,Pregrado,Polinómico,6.5,ALTA,37,54,74,97,97,97,162.2,225,76
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Pregrado,SES,8.7,ALTA,110,94,94,94,18,170,-14.5,282,659
CONTADURIA PUBLICA,Pregrado,SES,18.933333333333334,MEDIA,180,151,115,91,24,189,-49.4,357,1516
LICENCIATURA EN EDUCACION INFANTIL,Pregrado,Holt,42.5,BAJA,55,62,75,88,61,114,60.0,225,117
GOBIERNO Y RELACIONES INTERNACIONALES,Pregrado,Holt,52.0,BAJA,50,78,82,86,38,134,72.0,246,422
INGENIERIA MECANICA,Pregrado,SES,15.6,MEDIA,80,86,86,86,21,151,7.5,258,604
MERCADEO,Pregrado,SES,8.6,ALTA,85,84,84,84,17,151,-1.2,252,587
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,Pregrado,Holt,27.450000000000003,BAJA,66,69,74,79,19,156,19.7,222,378
ESTADISTICA,Pregrado,Holt,17.5,MEDIA,61,66,70,74,39,109,21.3,210,297
CONSTRUCCION EN ARQUITECTURA E INGENIERIA,Pregrado,SES,36.9,BAJA,63,63,63,63,0,139,0.0,189,415
INGENIERIA ELECTRONICA,Pregrado,SES,24.6,ALTA,57,59,59,59,21,98,3.5,177,414
DISENO GRAFICO,Pregrado,SES,13.1,ALTA,61,52,52,52,19,85,-14.8,156,364
ECONOMIA,Pregrado,Polinómico,17.3,MEDIA,85,68,52,50,45,144,-41.2,170,661
INGENIERIA MECATRONICA,Pregrado,Polinómico,5.5,ALTA,28,34,41,49,26,72,75.0,124,126
SOCIOLOGIA,Pregrado,SES,53.6,BAJA,31,47,47,47,6,88,51.6,141,328
OPTOMETRIA,Pregrado,Holt,14.4,ALTA,36,42,44,46,28,63,27.8,132,249
LICENCIATURA EN LENGUAS EXTRANJERAS INGLES,Pregrado,SES,20.7,MEDIA,61,41,41,41,0,85,-32.8,123,244
INGENIERIA DE TELECOMUNICACIONES,Pregrado,SES,35.4,BAJA,42,40,40,40,15,74,-4.8,120,281
LICENCIATURA EN TEOLOGIA,Pregrado,Polinómico,16.9,MEDIA,21,27,32,39,30,48,85.7,98,118
INGENIERIA AMBIENTAL,Pregrado,Holt,9.4,ALTA,121,92,63,34,0,179,-71.9,189,1448
INGENIERIA DE SISTEMAS,Pregrado,Lineal,28.8,MEDIA,30,26,28,30,3,58,0.0,84,129
QUIMICA AMBIENTAL,Pregrado,Polinómico,19.2,MEDIA,9,14,20,29,18,39,222.2,63,81
TECNOLOGIA EN LABORATORIO DENTAL,Pregrado,SES,7.8,ALTA,26,28,28,28,4,51,7.7,84,193
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,Pregrado,Lineal,82.4,BAJA,11,20,23,25,0,51,127.3,68,62
INGENIERIA EN INFORMATICA,Pregrado,SES,20.2,MEDIA,16,19,19,19,0,38,18.8,57,135
LICENCIATURA EN FILOSOFIA Y LENGUA CASTELLANA,Pregrado,SES,40.6,BAJA,16,16,16,16,0,44,0.0,48,115
TEOLOGIA,Pregrado,Lineal,39.2,BAJA,21,12,12,12,0,34,-42.9,36,89
LICENCIATURA EN ARTES PLASTICAS,Pregrado,SES,61.3,BAJA,10,11,11,11,0,28,10.0,33,40
ZOOTECNIA,Pregrado,SES,12.3,ALTA,8,9,9,9,2,16,12.5,27,64
LICENCIATURA EN BIOLOGIA CON ENFASIS EN EDUCACION AMBIENTAL,Pregrado,SES,112.4,BAJA,5,5,5,5,0,34,0.0,15,109
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,Pregrado,SES,0.0,ALTA,3,3,3,3,0,25,0.0,9,84
LICENCIATURA EN ARTES PLASTICAS Y VISUALES,Pregrado,Polinómico,107.5,BAJA,2,1,1,2,0,5,0.0,4,41
LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA,Pregrado,Holt,28.9,MEDIA,8,7,4,2,0,12,-75.0,13,104
"LICENCIATURA EN FILOSOFIA, PENSAMIENTO POLITICO Y ECONOMICO",Pregrado,SES,385.0,BAJA,1,1,1,1,0,27,0.0,3,119
COMUNICACION SOCIAL,Pregrado,Lineal,26.4,MEDIA,70,35,17,0,0,138,-100.0,52,742
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS,Pregrado,Polinómico,166.7,BAJA,0,0,0,0,0,16,,0,81
"LICENCIATURA EN FILOSOFIA, ETICA Y VALORES HUMANOS",Pregrado,Holt,46.4,BAJA,0,2,1,0,0,4,,3,45
LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,Pregrado,Holt,21.5,MEDIA,1,0,0,0,0,16,-100.0,0,226
LICENCIATURA EN EDUCACION PREESCOLAR,Pregrado,Holt,140.7,BAJA,10,16,7,0,0,81,-100.0,23,342
LICENCIATURA EN INFORMATICA EDUCATIVA,Pregrado,Holt,75.0,BAJA,2,1,0,0,0,6,-100.0,1,48
