programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
ESPECIALIZACION EN AUDITORIA DE SALUD,Posgrado,Polinómico,5.0,ALTA,29,35,43,52,38,66,79.3,130,148
ESPECIALIZACION EN AUDITORIA Y ASEGURAMIENTO DE LA INFORMACION,Posgrado,SES,130.9,BAJA,35,15,15,15,0,67,-57.1,45,62
ESPECIALIZACION EN CONTRATACION ESTATAL,Posgrado,Polinómico,49.3,BAJA,59,90,123,163,130,196,176.3,376,161
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,Polinómico,15.6,MEDIA,125,166,211,261,224,299,108.8,638,414
ESPECIALIZACION EN DERECHO PENAL Y PROCESAL PENAL,Posgrado,Holt,53.5,BAJA,73,94,124,153,89,217,109.6,371,171
ESPECIALIZACION EN ESTRUCTURAS,Posgrado,Holt,11.6,ALTA,74,74,82,89,68,109,20.3,245,318
ESPECIALIZACION EN GEOTECNIA VIAL Y PAVIMENTOS,Posgrado,SES,15.5,MEDIA,46,46,46,46,0,101,0.0,138,331
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Posgrado,SES,297.9,BAJA,2,8,8,8,0,30,300.0,24,31
ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,Posgrado,Lineal,5.8,ALTA,87,92,100,107,75,140,23.0,299,429
ESPECIALIZACION EN GOBIERNO Y GESTION TERRITORIAL,Posgrado,Holt,44.1,BAJA,36,20,21,22,0,55,-38.9,63,113
ESPECIALIZACION EN INNOVACION Y MARKETING,Posgrado,SES,38.7,BAJA,43,29,29,29,0,64,-32.6,87,145
ESPECIALIZACION EN PSICOLOGIA JURIDICA Y FORENSE,Posgrado,Polinómico,15.6,MEDIA,13,8,2,0,0,6,-100.0,10,81
MAESTRIA EN DERECHO ADMINISTRATIVO,Posgrado,SES,129.4,BAJA,31,39,39,39,0,128,25.8,117,275
MAESTRIA EN DERECHO PENAL Y PROCESAL PENAL,Posgrado,Polinómico,45.1,BAJA,5,0,0,0,0,21,-100.0,0,71
MAESTRIA EN DERECHO PRIVADO,Posgrado,Polinómico,106.5,BAJA,2,0,0,0,0,14,-100.0,0,55
MAESTRIA EN INGENIERIA CIVIL CON ENFASIS EN HIDROAMBIENTAL,Posgrado,Holt,70.5,BAJA,0,20,24,28,13,43,,72,40
MAESTRIA EN PEDAGOGIA,Posgrado,Holt,77.1,BAJA,24,13,11,8,0,35,-66.7,32,165
