programa,total_2018_2024,modelo,mape_pct,confianza,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,mape_Lineal,mape_Polinómico,mape_SES,mape_Holt
DERECHO,4650,SES,3.6,ALTA,664,664,664,163,1165,8.6,33.5,3.6,8.6
NEGOCIOS INTERNACIONALES,2675,Lineal,5.1,ALTA,496,524,553,223,882,5.1,49.2,19.5,5.1
INGENIERIA CIVIL,2619,SES,13.2,ALTA,347,347,347,80,613,25.4,22.5,13.2,25.4
ADMINISTRACION DE EMPRESAS,2467,SES,4.9,ALTA,352,352,352,190,515,5.2,19.0,4.9,5.2
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,2209,Lineal,16.3,MEDIA,375,389,404,213,596,16.3,22.2,21.3,16.3
ARQUITECTURA,1866,Holt,18.4,MEDIA,338,356,374,203,545,18.4,28.5,27.3,18.4
CONTADURIA PUBLICA,1516,Lineal,11.0,ALTA,170,158,146,83,210,11.0,19.5,19.3,11.0
INGENIERIA AMBIENTAL,1463,Holt,14.9,ALTA,122,108,94,0,304,35.9,85.0,15.1,14.9
"CULTURA FISICA, DEPORTE Y RECREACION",1352,Holt,3.4,ALTA,287,310,333,263,404,5.6,13.8,8.8,3.4
INGENIERIA INDUSTRIAL,1102,SES,8.5,ALTA,200,200,200,11,390,21.1,14.8,8.5,21.1
PSICOLOGIA,1026,SES,12.3,ALTA,147,147,147,77,217,17.6,19.5,12.3,22.8
ODONTOLOGIA,918,SES,24.2,MEDIA,131,131,131,0,290,41.5,43.0,24.2,41.5
COMUNICACION SOCIAL,742,Lineal,26.4,MEDIA,35,17,0,0,150,26.4,106.3,50.6,26.4
ESPECIALIZACION EN GERENCIA EMPRESARIAL,685,SES,18.3,MEDIA,93,93,93,0,187,34.9,25.9,18.3,34.9
ECONOMIA,661,Holt,11.3,ALTA,84,82,79,0,183,11.3,17.9,15.9,11.3
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,659,SES,8.7,ALTA,94,94,94,0,200,17.6,37.6,8.7,17.6
INGENIERIA MECANICA,635,Holt,5.6,ALTA,120,127,134,68,200,5.6,24.2,21.4,5.6
MERCADEO,587,SES,8.6,ALTA,84,84,84,0,178,24.5,49.3,8.6,24.5
ESPECIALIZACION EN PATOLOGIA DE LA CONSTRUCCION,587,SES,16.5,MEDIA,84,84,84,35,132,21.7,26.9,16.5,21.7
ESPECIALIZACION EN AUDITORIA DE SALUD,580,Polinómico,29.7,MEDIA,101,126,157,104,211,30.0,29.7,31.9,30.0
MAESTRIA EN EDUCACION,501,SES,210.5,BAJA,10,10,10,0,454,1068.3,1393.5,210.5,1068.3
ESPECIALIZACION EN FINANZAS,489,SES,1.1,ALTA,70,70,70,33,107,7.9,3.0,1.1,7.9
ESPECIALIZACION EN PSICOLOGIA JURIDICA Y FORENSE,478,SES,14.1,ALTA,68,68,68,19,118,22.7,16.3,14.1,22.7
ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,429,Lineal,5.8,ALTA,92,100,107,72,143,5.8,17.2,23.4,5.8
GOBIERNO Y RELACIONES INTERNACIONALES,422,Holt,52.0,BAJA,78,82,86,19,153,52.0,65.0,54.5,52.0
CONSTRUCCION EN ARQUITECTURA E INGENIERIA,415,SES,36.9,BAJA,63,63,63,0,170,42.5,47.4,36.9,42.5
INGENIERIA ELECTRONICA,414,SES,12.2,ALTA,59,59,59,12,106,25.6,42.9,12.2,28.5
ESPECIALIZACION EN CONTRATACION ESTATAL,388,Polinómico,25.1,MEDIA,135,179,232,199,265,46.6,25.1,50.0,36.1
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,378,SES,30.9,BAJA,64,64,64,0,141,40.9,54.9,30.9,40.9
DISENO GRAFICO,364,SES,13.1,ALTA,52,52,52,6,98,21.5,27.0,13.1,21.5
LICENCIATURA EN EDUCACION PREESCOLAR,342,Holt,140.7,BAJA,16,7,0,0,114,140.7,230.6,254.0,140.7
MAESTRIA EN CALIDAD Y GESTION INTEGRAL,334,SES,116.6,BAJA,19,19,19,0,109,148.2,123.5,116.6,148.2
ESPECIALIZACION EN GEOTECNIA VIAL Y PAVIMENTOS,331,SES,15.5,MEDIA,46,46,46,0,123,53.8,24.5,15.5,53.8
SOCIOLOGIA,328,SES,53.6,BAJA,47,47,47,0,104,59.2,74.5,53.6,59.2
ESPECIALIZACION EN ESTRUCTURAS,318,Holt,11.6,ALTA,74,82,89,60,118,11.6,12.1,24.5,11.6
ESPECIALIZACION EN DIRECCION Y GESTION DE LA CALIDAD,313,Polinómico,10.5,ALTA,173,258,363,353,373,47.4,10.5,39.0,36.2
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,312,Lineal,60.8,BAJA,22,17,11,0,63,60.8,94.0,96.2,60.8
ESPECIALIZACION EN DERECHO PROCESAL,306,Polinómico,25.3,MEDIA,63,82,106,76,137,40.7,25.3,27.7,40.7
ESTADISTICA,297,Holt,17.5,MEDIA,66,70,74,25,123,22.3,25.0,21.3,17.5
INGENIERIA DE TELECOMUNICACIONES,281,SES,25.0,MEDIA,40,40,40,0,81,42.5,70.9,25.0,42.5
MAESTRIA EN DERECHO ADMINISTRATIVO,275,SES,129.4,BAJA,39,39,39,0,163,174.6,204.5,129.4,225.5
MAESTRIA EN DERECHO CONTRACTUAL PUBLICO Y PRIVADO,263,Polinómico,18.6,MEDIA,4,0,0,0,60,93.9,18.6,33.2,93.9
OPTOMETRIA,249,Holt,14.4,ALTA,42,44,46,21,70,14.4,42.6,20.1,14.4
LICENCIATURA EN LENGUAS EXTRANJERAS INGLES,244,SES,20.7,MEDIA,41,41,41,0,103,31.5,47.2,20.7,31.5
ESPECIALIZACION EN ENDODONCIA,236,SES,14.7,ALTA,34,34,34,0,84,43.9,20.1,14.7,43.9
LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,226,Holt,21.5,MEDIA,0,0,0,0,23,21.5,395.8,615.4,21.5
MAESTRIA EN PSICOLOGIA JURIDICA,223,Polinómico,81.1,BAJA,0,0,0,0,58,304.1,81.1,161.0,304.1
MAESTRIA EN ADMINISTRACION,214,SES,33.1,BAJA,33,33,33,0,87,67.3,58.1,33.1,80.7
ESPECIALIZACION EN DERECHO PENAL,209,Lineal,26.5,MEDIA,36,37,38,0,80,26.5,60.9,26.8,32.6
ESPECIALIZACION EN GESTION TERRITORIAL Y AVALUOS,203,Lineal,13.9,ALTA,25,24,23,0,46,13.9,53.4,20.5,14.2
