ies_padre,institucion,graduados,ranking,pct_posgrado
2829.0,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,171183.0,1,23.0
2725.0,POLITECNICO GRANCOLOMBIANO,93966.0,2,14.5
4813.0,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,71967.0,3,2.0
2728.0,FUNDACION UNIVERSITARIA DEL AREA ANDINA,70549.0,4,35.7
1818.0,UNIVERSIDAD COOPERATIVA DE COLOMBIA,62592.0,5,15.7
1806.0,UNIVERSIDAD LIBRE,56892.0,6,47.1
1701.0,PONTIFICIA UNIVERSIDAD JAVERIANA,56759.0,7,43.7
1704.0,UNIVERSIDAD SANTO TOMAS,49342.0,8,37.0
1706.0,UNIVERSIDAD EXTERNADO DE COLOMBIA,41712.0,9,84.2
2832.0,UNIVERSIDAD DE SANTANDER - UDES,41512.0,10,75.0
1710.0,UNIVERSIDAD PONTIFICIA BOLIVARIANA,39723.0,11,43.4
1813.0,UNIVERSIDAD DE LOS ANDES,36742.0,12,42.0
5802.0,UNIVERSIDAD ECCI,32710.0,13,19.8
2833.0,CORPORACION UNIVERSITARIA REMINGTON,30231.0,14,18.7
1714.0,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,28633.0,15,56.2
