programa,variacion_pct
ESPECIALIZACIÓN EN ESTRUCTURAS,196.0
CONSTRUCCION EN ARQUITECTURA E INGENIERIA,186.4
"MAESTRIA EN DEFENSA DE LOS DERECHOS HUMANOS Y DEL DERECHO INTERNACIONAL HUMANITARIO ANTE ORGANISMOS, TRIBUNALES Y CORTES INTERNACIONALES",185.7
ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS DE CONSTRUCCIÓN,148.6
ESPECIALIZACION EN FINANZAS PUBLICAS,143.5
INGENIERÍA CIVIL,136.4
PSICOLOGÍA,109.3
DISEÑO GRÁFICO,64.9
ESPECIALIZACIÓN EN GOBIERNO Y GESTIÓN TERRITORIAL,63.6
"CULTURA FISICA, DEPORTE Y RECREACION",50.3
ESTADÍSTICA,48.8
ARQUITECTURA,37.0
NEGOCIOS INTERNACIONALES,30.0
ADMINISTRACION DE EMPRESAS,29.6
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,27.9
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,25.4
INGENIERÍA AMBIENTAL,25.4
INGENIERIA DE TELECOMUNICACIONES,20.0
ECONOMIA,13.3
TECNOLOGIA EN LABORATORIO DENTAL,13.0
ESPECIALIZACIÓN EN DERECHO ADMINISTRATIVO,12.8
OPTOMETRIA,12.5
ESPECIALIZACION EN PATOLOGIA DE LA CONSTRUCCION,12.3
MAESTRIA EN DERECHO CONTRACTUAL PUBLICO Y PRIVADO,9.1
GOBIERNO Y RELACIONES INTERNACIONALES,8.7
DERECHO,7.8
ESPECIALIZACION EN CONTRATACION ESTATAL,2.6
ESPECIALIZACIÓN EN GESTIÓN TERRITORIAL Y AVALÚOS,0.0
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,0.0
ESPECIALIZACION EN DERECHO PROCESAL,-6.8
ESPECIALIZACION EN DERECHO PENAL,-8.3
INGENIERIA ELECTRONICA,-9.5
ESPECIALIZACION EN ENDODONCIA,-13.3
ODONTOLOGIA,-16.9
MERCADEO,-17.5
ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,-18.2
ESPECIALIZACION EN PSICOLOGIA JURIDICA Y FORENSE,-18.3
INGENIERIA MECANICA,-19.8
MAESTRÍA EN PEDAGOGÍA,-20.0
ESPECIALIZACION EN GERENCIA EMPRESARIAL,-20.3
SOCIOLOGIA,-22.5
INGENIERIA CIVIL,-22.5
ESPECIALIZACIÓN EN DERECHO CONSTITUCIONAL,-24.0
ESPECIALIZACIÓN EN GERENCIA EMPRESARIAL,-26.1
ESPECIALIZACIÓN EN PEDAGOGÍA PARA LA EDUCACIÓN SUPERIOR,-26.1
MAESTRÍA EN ADMINISTRACIÓN,-28.3
PSICOLOGIA,-29.5
MAESTRIA EN PSICOLOGIA CLINICA Y DE LA FAMILIA,-32.1
INGENIERIA INDUSTRIAL,-32.8
MAESTRÍA EN ACTIVIDAD FÍSICA PARA LA SALUD,-33.3
CONTADURIA PUBLICA,-41.1
COMUNICACION SOCIAL,-44.0
ESPECIALIZACION EN AUDITORIA DE SALUD,-44.9
ADMINISTRACIÓN DE EMPRESAS,-47.0
ESPECIALIZACION EN SEGMENTO ANTERIOR Y LENTES DE CONTACTO,-47.6
LICENCIATURA EN FILOSOFIA Y LENGUA CASTELLANA,-48.4
ESPECIALIZACION EN GERENCIA DE NEGOCIOS INTERNACIONALES,-52.2
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,-53.1
INGENIERIA AMBIENTAL,-55.9
MAESTRÍA EN ADMINISTRACION - MBA,-57.1
ESPECIALIZACION EN FINANZAS,-59.0
LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA,-61.9
MAESTRIA EN CALIDAD Y GESTION INTEGRAL,-62.9
QUIMICA AMBIENTAL,-65.4
LICENCIATURA EN EDUCACION PREESCOLAR,-80.4
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,-90.9
ESPECIALIZACION EN ORDENAMIENTO Y GESTION INTEGRAL DE CUENCAS HIDROGRAFICAS,-91.7
LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,-98.3
MAESTRIA EN EDUCACION,-98.3
