Universidad,Total 2018-2024,Grad. 2018,Grad. 2024,Crec. %,% Posgrado,% Mujeres,N° Dptos.
UNIMINUTO,171183,20902,26158,25.1,23.0,70.8,23
U. Nacional,64838,10041,9459,-5.8,39.2,41.6,9
U. Cooperativa,62592,8836,7986,-9.6,15.7,61.4,16
U. Libre,56892,8087,8564,5.9,47.1,58.9,10
P. U. Javeriana,56759,7900,8397,6.3,43.7,56.3,10
U. Santo Tomás,49342,6959,8013,15.1,37.0,54.7,23
U. P. Bolivariana,39723,5621,5627,0.1,43.4,54.3,16
U. Católica,22312,3161,2975,-5.9,52.8,55.0,4
U. La Gran Colombia,20861,2722,2916,7.1,29.0,51.6,3
U. J. Tadeo Lozano,18753,3064,1926,-37.1,39.7,60.1,9
