ciiu,empresas,pct
9999,846505,13.56
4711,274207,4.39
5611,199203,3.19
5630,173281,2.78
9499,149882,2.4
4771,145731,2.33
9602,137285,2.2
4719,131980,2.11
4773,112955,1.81
1410,101962,1.63
8299,94407,1.51
4752,89373,1.43
5619,80491,1.29
6810,79755,1.28
4520,78720,1.26
5613,75699,1.21
7020,72254,1.16
4759,72137,1.16
4723,69506,1.11
4761,64565,1.03
1081,62555,1.0
4111,62157,1.0
4290,61022,0.98
4721,60835,0.97
7310,59814,0.96
4530,58200,0.93
4923,55312,0.89
4741,47155,0.76
4772,44123,0.71
4799,42471,0.68
